ym,value
201802,4275863
201803,4224032
201804,4667132
201805,4609438
201806,3946530
201807,3883441
201808,3570153
201809,4212058
201810,4643789
201811,5321488
201812,6762525
201901,4667430
201902,3587684
201903,4571393
201904,5531086
201905,4771385
201906,3931026
201907,4110321
201908,3666876
201909,4280819
201910,4718883
201911,4976728
201912,6162715
202001,6250940
202002,3750123
202003,3151516
202004,2688426
202005,2866246
202006,2817020
202007,2911518
202008,2609127
202009,2903165
202010,2857748
202011,3084758
202012,2830670
202101,2448677
202102,2393841
202103,3076518
202104,3119912
202105,3007235
202106,3196598
202107,2716459
202108,2799490
202109,3114287
202110,3476388
202111,3993540
202112,3525742
202201,3415750
202202,5009507
202203,10659633
202204,5681012
202205,3342750
202206,2944922
202207,4214616
202208,5603527
202209,4475033
202210,4371623
202211,5232952
202212,7042229
202301,5273722
202302,3710821
202303,4798899
202304,5798970
202305,6328453
202306,5108232
202307,5773481
202308,5334423
202309,5130997
202310,5775074
202311,6579316
202312,7801733
202401,6619759
202402,5184286
202403,5360519
202404,5244481
202405,5158365
202406,4653008
202407,5790598
202408,6685336
202409,4946781
202410,5019917
202411,5294442
202412,7676342
202501,7769864
202502,4563638
202503,5371539
202504,5573945
202505,4860673
202506,4164169
202507,4556065
202508,4539903
202509,5520471
202510,5241945
202511,7039931
202512,6065383