지점,지점명,일시,평균상대습도
112,인천,2018-01-01,45.9
112,인천,2018-01-02,46.3
112,인천,2018-01-03,47.8
112,인천,2018-01-04,47.1
112,인천,2018-01-05,59.8
112,인천,2018-01-06,51.6
112,인천,2018-01-07,51.9
112,인천,2018-01-08,62.4
112,인천,2018-01-09,65.9
112,인천,2018-01-10,56.8
112,인천,2018-01-11,55.1
112,인천,2018-01-12,50
112,인천,2018-01-13,82
112,인천,2018-01-14,70.1
112,인천,2018-01-15,75.5
112,인천,2018-01-16,75.4
112,인천,2018-01-17,79.5
112,인천,2018-01-18,71.1
112,인천,2018-01-19,47.4
112,인천,2018-01-20,67.3
112,인천,2018-01-21,46.5
112,인천,2018-01-22,61.5
112,인천,2018-01-23,42.3
112,인천,2018-01-24,37.6
112,인천,2018-01-25,39
112,인천,2018-01-26,41.5
112,인천,2018-01-27,46.6
112,인천,2018-01-28,41.3
112,인천,2018-01-29,42.8
112,인천,2018-01-30,65.9
112,인천,2018-01-31,55.9
112,인천,2018-02-01,48.3
112,인천,2018-02-02,53.1
112,인천,2018-02-03,51.6
112,인천,2018-02-04,48.5
112,인천,2018-02-05,43.4
112,인천,2018-02-06,43.8
112,인천,2018-02-07,49.5
112,인천,2018-02-08,61.9
112,인천,2018-02-09,54.3
112,인천,2018-02-10,60
112,인천,2018-02-11,52.6
112,인천,2018-02-12,52.4
112,인천,2018-02-13,60.4
112,인천,2018-02-14,58
112,인천,2018-02-15,36.8
112,인천,2018-02-16,49.4
112,인천,2018-02-17,35.6
112,인천,2018-02-18,37.8
112,인천,2018-02-19,63.5
112,인천,2018-02-20,46.6
112,인천,2018-02-21,40.9
112,인천,2018-02-22,68.8
112,인천,2018-02-23,88.1
112,인천,2018-02-24,58.3
112,인천,2018-02-25,52.9
112,인천,2018-02-26,52.9
112,인천,2018-02-27,58.8
112,인천,2018-02-28,74.9
112,인천,2018-03-01,66.1
112,인천,2018-03-02,38.9
112,인천,2018-03-03,41
112,인천,2018-03-04,95.1
112,인천,2018-03-05,72.8
112,인천,2018-03-06,57.8
112,인천,2018-03-07,60.5
112,인천,2018-03-08,83.4
112,인천,2018-03-09,72.8
112,인천,2018-03-10,81.6
112,인천,2018-03-11,82.1
112,인천,2018-03-12,69.6
112,인천,2018-03-13,70.3
112,인천,2018-03-14,68.4
112,인천,2018-03-15,95
112,인천,2018-03-16,53.3
112,인천,2018-03-17,53.1
112,인천,2018-03-18,72.9
112,인천,2018-03-19,69.6
112,인천,2018-03-20,42.6
112,인천,2018-03-21,67.6
112,인천,2018-03-22,70.9
112,인천,2018-03-23,72.1
112,인천,2018-03-24,80.9
112,인천,2018-03-25,89.5
112,인천,2018-03-26,86.8
112,인천,2018-03-27,76.6
112,인천,2018-03-28,79.6
112,인천,2018-03-29,81.6
112,인천,2018-03-30,65.1
112,인천,2018-03-31,65.3
112,인천,2018-04-01,79
112,인천,2018-04-02,74.9
112,인천,2018-04-03,86.6
112,인천,2018-04-04,73
112,인천,2018-04-05,92
112,인천,2018-04-06,74.1
112,인천,2018-04-07,47.1
112,인천,2018-04-08,66.8
112,인천,2018-04-09,60
112,인천,2018-04-10,60.5
112,인천,2018-04-11,67.9
112,인천,2018-04-12,49.1
112,인천,2018-04-13,28.9
112,인천,2018-04-14,82
112,인천,2018-04-15,69.9
112,인천,2018-04-16,47.1
112,인천,2018-04-17,49.5
112,인천,2018-04-18,45.8
112,인천,2018-04-19,51.4
112,인천,2018-04-20,57.1
112,인천,2018-04-21,50.6
112,인천,2018-04-22,67.9
112,인천,2018-04-23,94.6
112,인천,2018-04-24,67.1
112,인천,2018-04-25,44.1
112,인천,2018-04-26,64.9
112,인천,2018-04-27,71.3
112,인천,2018-04-28,65.6
112,인천,2018-04-29,53
112,인천,2018-04-30,78.4
112,인천,2018-05-01,86.6
112,인천,2018-05-02,91.3
112,인천,2018-05-03,62.1
112,인천,2018-05-04,54.3
112,인천,2018-05-05,59.3
112,인천,2018-05-06,88.3
112,인천,2018-05-07,70.5
112,인천,2018-05-08,52.5
112,인천,2018-05-09,59
112,인천,2018-05-10,83.9
112,인천,2018-05-11,83.8
112,인천,2018-05-12,89.5
112,인천,2018-05-13,91
112,인천,2018-05-14,81.5
112,인천,2018-05-15,58.4
112,인천,2018-05-16,94.5
112,인천,2018-05-17,98.5
112,인천,2018-05-18,90.4
112,인천,2018-05-19,52.9
112,인천,2018-05-20,33.6
112,인천,2018-05-21,50
112,인천,2018-05-22,81
112,인천,2018-05-23,70.8
112,인천,2018-05-24,57.5
112,인천,2018-05-25,49.1
112,인천,2018-05-26,63.8
112,인천,2018-05-27,55.4
112,인천,2018-05-28,62.6
112,인천,2018-05-29,84.1
112,인천,2018-05-30,88.1
112,인천,2018-05-31,70.6
112,인천,2018-06-01,64.5
112,인천,2018-06-02,59
112,인천,2018-06-03,55.5
112,인천,2018-06-04,70
112,인천,2018-06-05,57.3
112,인천,2018-06-06,82.8
112,인천,2018-06-07,84.8
112,인천,2018-06-08,79.1
112,인천,2018-06-09,78.6
112,인천,2018-06-10,71.8
112,인천,2018-06-11,77.9
112,인천,2018-06-12,76
112,인천,2018-06-13,75.6
112,인천,2018-06-14,82.5
112,인천,2018-06-15,65
112,인천,2018-06-16,60.3
112,인천,2018-06-17,79.8
112,인천,2018-06-18,73.8
112,인천,2018-06-19,83.8
112,인천,2018-06-20,85.5
112,인천,2018-06-21,81.1
112,인천,2018-06-22,61.4
112,인천,2018-06-23,70.4
112,인천,2018-06-24,83.5
112,인천,2018-06-25,68.6
112,인천,2018-06-26,92.8
112,인천,2018-06-27,92.4
112,인천,2018-06-28,93.4
112,인천,2018-06-29,90.5
112,인천,2018-06-30,83.5
112,인천,2018-07-01,95.6
112,인천,2018-07-02,95.6
112,인천,2018-07-03,79.4
112,인천,2018-07-04,83.1
112,인천,2018-07-05,80.1
112,인천,2018-07-06,59
112,인천,2018-07-07,57.5
112,인천,2018-07-08,56.5
112,인천,2018-07-09,87.8
112,인천,2018-07-10,89.1
112,인천,2018-07-11,86.4
112,인천,2018-07-12,91
112,인천,2018-07-13,87.3
112,인천,2018-07-14,84.4
112,인천,2018-07-15,82.1
112,인천,2018-07-16,78.9
112,인천,2018-07-17,81.4
112,인천,2018-07-18,81
112,인천,2018-07-19,81.1
112,인천,2018-07-20,75.5
112,인천,2018-07-21,70.5
112,인천,2018-07-22,62.6
112,인천,2018-07-23,65.1
112,인천,2018-07-24,74.4
112,인천,2018-07-25,79.3
112,인천,2018-07-26,83.9
112,인천,2018-07-27,81.8
112,인천,2018-07-28,81.4
112,인천,2018-07-29,60.9
112,인천,2018-07-30,57.3
112,인천,2018-07-31,59.3
112,인천,2018-08-01,67.5
112,인천,2018-08-02,64.3
112,인천,2018-08-03,66
112,인천,2018-08-04,77.1
112,인천,2018-08-05,82.3
112,인천,2018-08-06,82.4
112,인천,2018-08-07,72.1
112,인천,2018-08-08,79.9
112,인천,2018-08-09,86.3
112,인천,2018-08-10,71.1
112,인천,2018-08-11,65.6
112,인천,2018-08-12,62.5
112,인천,2018-08-13,69.5
112,인천,2018-08-14,64.9
112,인천,2018-08-15,66.1
112,인천,2018-08-16,53
112,인천,2018-08-17,42
112,인천,2018-08-18,49.9
112,인천,2018-08-19,61.9
112,인천,2018-08-20,64.4
112,인천,2018-08-21,83
112,인천,2018-08-22,67.9
112,인천,2018-08-23,71.1
112,인천,2018-08-24,87.3
112,인천,2018-08-25,76.3
112,인천,2018-08-26,77.6
112,인천,2018-08-27,93.3
112,인천,2018-08-28,95.1
112,인천,2018-08-29,92.5
112,인천,2018-08-30,84.4
112,인천,2018-08-31,74.4
112,인천,2018-09-01,62.6
112,인천,2018-09-02,59.4
112,인천,2018-09-03,85.5
112,인천,2018-09-04,71.9
112,인천,2018-09-05,68.4
112,인천,2018-09-06,78
112,인천,2018-09-07,56.5
112,인천,2018-09-08,55
112,인천,2018-09-09,57.9
112,인천,2018-09-10,54.3
112,인천,2018-09-11,50.1
112,인천,2018-09-12,57.3
112,인천,2018-09-13,65
112,인천,2018-09-14,67.1
112,인천,2018-09-15,82.9
112,인천,2018-09-16,85.3
112,인천,2018-09-17,70
112,인천,2018-09-18,62.8
112,인천,2018-09-19,69.5
112,인천,2018-09-20,85.6
112,인천,2018-09-21,89
112,인천,2018-09-22,62.5
112,인천,2018-09-23,56
112,인천,2018-09-24,50
112,인천,2018-09-25,49.6
112,인천,2018-09-26,49.5
112,인천,2018-09-27,52.8
112,인천,2018-09-28,58.4
112,인천,2018-09-29,61.6
112,인천,2018-09-30,57
112,인천,2018-10-01,59.1
112,인천,2018-10-02,63.5
112,인천,2018-10-03,65.6
112,인천,2018-10-04,56.4
112,인천,2018-10-05,87.4
112,인천,2018-10-06,84.6
112,인천,2018-10-07,53.8
112,인천,2018-10-08,44
112,인천,2018-10-09,55.5
112,인천,2018-10-10,57.6
112,인천,2018-10-11,48.8
112,인천,2018-10-12,51.9
112,인천,2018-10-13,58.5
112,인천,2018-10-14,62
112,인천,2018-10-15,71
112,인천,2018-10-16,54.4
112,인천,2018-10-17,49.1
112,인천,2018-10-18,68
112,인천,2018-10-19,62.3
112,인천,2018-10-20,59.5
112,인천,2018-10-21,58.9
112,인천,2018-10-22,55.3
112,인천,2018-10-23,75.5
112,인천,2018-10-24,62
112,인천,2018-10-25,63.5
112,인천,2018-10-26,73
112,인천,2018-10-27,51.8
112,인천,2018-10-28,76.6
112,인천,2018-10-29,57.9
112,인천,2018-10-30,49.4
112,인천,2018-10-31,54
112,인천,2018-11-01,56.9
112,인천,2018-11-02,65.5
112,인천,2018-11-03,72.4
112,인천,2018-11-04,71.4
112,인천,2018-11-05,76.9
112,인천,2018-11-06,85.1
112,인천,2018-11-07,91.9
112,인천,2018-11-08,96.6
112,인천,2018-11-09,68.6
112,인천,2018-11-10,72.4
112,인천,2018-11-11,69
112,인천,2018-11-12,58.6
112,인천,2018-11-13,56
112,인천,2018-11-14,64.3
112,인천,2018-11-15,63.1
112,인천,2018-11-16,69
112,인천,2018-11-17,47.4
112,인천,2018-11-18,54.3
112,인천,2018-11-19,56.3
112,인천,2018-11-20,46
112,인천,2018-11-21,57
112,인천,2018-11-22,39.1
112,인천,2018-11-23,32.6
112,인천,2018-11-24,75.3
112,인천,2018-11-25,77.1
112,인천,2018-11-26,71.6
112,인천,2018-11-27,63.6
112,인천,2018-11-28,30
112,인천,2018-11-29,48.4
112,인천,2018-11-30,53.3
112,인천,2018-12-01,44.1
112,인천,2018-12-02,53.9
112,인천,2018-12-03,91.6
112,인천,2018-12-04,72.1
112,인천,2018-12-05,43.8
112,인천,2018-12-06,52.3
112,인천,2018-12-07,47.9
112,인천,2018-12-08,41.4
112,인천,2018-12-09,31.8
112,인천,2018-12-10,41.5
112,인천,2018-12-11,46.5
112,인천,2018-12-12,41.8
112,인천,2018-12-13,62.6
112,인천,2018-12-14,48
112,인천,2018-12-15,54.6
112,인천,2018-12-16,68.4
112,인천,2018-12-17,58.8
112,인천,2018-12-18,62
112,인천,2018-12-19,62.6
112,인천,2018-12-20,53.6
112,인천,2018-12-21,53.6
112,인천,2018-12-22,61.5
112,인천,2018-12-23,45.4
112,인천,2018-12-24,42
112,인천,2018-12-25,61.6
112,인천,2018-12-26,42.6
112,인천,2018-12-27,37.4
112,인천,2018-12-28,41
112,인천,2018-12-29,37.5
112,인천,2018-12-30,42
112,인천,2018-12-31,52.1
112,인천,2019-01-01,57.6
112,인천,2019-01-02,48.8
112,인천,2019-01-03,45.6
112,인천,2019-01-04,67.6
112,인천,2019-01-05,43.4
112,인천,2019-01-06,46.4
112,인천,2019-01-07,59.4
112,인천,2019-01-08,40.8
112,인천,2019-01-09,37
112,인천,2019-01-10,59.3
112,인천,2019-01-11,71.8
112,인천,2019-01-12,61.6
112,인천,2019-01-13,66.9
112,인천,2019-01-14,80.6
112,인천,2019-01-15,67.1
112,인천,2019-01-16,51.4
112,인천,2019-01-17,47.9
112,인천,2019-01-18,52.3
112,인천,2019-01-19,72
112,인천,2019-01-20,46
112,인천,2019-01-21,63.3
112,인천,2019-01-22,70.5
112,인천,2019-01-23,57.5
112,인천,2019-01-24,42.3
112,인천,2019-01-25,37.5
112,인천,2019-01-26,39.4
112,인천,2019-01-27,60.4
112,인천,2019-01-28,45.6
112,인천,2019-01-29,45
112,인천,2019-01-30,69.8
112,인천,2019-01-31,33.4
112,인천,2019-02-01,51.5
112,인천,2019-02-02,61.4
112,인천,2019-02-03,94
112,인천,2019-02-04,43
112,인천,2019-02-05,38.9
112,인천,2019-02-06,62.8
112,인천,2019-02-07,49.3
112,인천,2019-02-08,37.5
112,인천,2019-02-09,36.8
112,인천,2019-02-10,37.9
112,인천,2019-02-11,40.3
112,인천,2019-02-12,46.9
112,인천,2019-02-13,32.5
112,인천,2019-02-14,36.6
112,인천,2019-02-15,81.1
112,인천,2019-02-16,61.5
112,인천,2019-02-17,55.5
112,인천,2019-02-18,56.5
112,인천,2019-02-19,87.3
112,인천,2019-02-20,71.6
112,인천,2019-02-21,63
112,인천,2019-02-22,66.6
112,인천,2019-02-23,54.9
112,인천,2019-02-24,65.8
112,인천,2019-02-25,67.6
112,인천,2019-02-26,46
112,인천,2019-02-27,48.5
112,인천,2019-02-28,62.5
112,인천,2019-03-01,64.9
112,인천,2019-03-02,57.4
112,인천,2019-03-03,49
112,인천,2019-03-04,63.9
112,인천,2019-03-05,83.1
112,인천,2019-03-06,70.5
112,인천,2019-03-07,54.8
112,인천,2019-03-08,57
112,인천,2019-03-09,53.3
112,인천,2019-03-10,37.8
112,인천,2019-03-11,81.3
112,인천,2019-03-12,61.8
112,인천,2019-03-13,44.6
112,인천,2019-03-14,58.3
112,인천,2019-03-15,79.9
112,인천,2019-03-16,74.9
112,인천,2019-03-17,68.5
112,인천,2019-03-18,53.6
112,인천,2019-03-19,68.1
112,인천,2019-03-20,85
112,인천,2019-03-21,80
112,인천,2019-03-22,44.1
112,인천,2019-03-23,54.8
112,인천,2019-03-24,57.5
112,인천,2019-03-25,66
112,인천,2019-03-26,72.8
112,인천,2019-03-27,80.8
112,인천,2019-03-28,61.6
112,인천,2019-03-29,43
112,인천,2019-03-30,78.5
112,인천,2019-03-31,51.6
112,인천,2019-04-01,47.5
112,인천,2019-04-02,51.9
112,인천,2019-04-03,60.3
112,인천,2019-04-04,66.6
112,인천,2019-04-05,56.9
112,인천,2019-04-06,53.9
112,인천,2019-04-07,50
112,인천,2019-04-08,35.5
112,인천,2019-04-09,51.6
112,인천,2019-04-10,86.1
112,인천,2019-04-11,73.9
112,인천,2019-04-12,69.9
112,인천,2019-04-13,42.5
112,인천,2019-04-14,57.3
112,인천,2019-04-15,48.4
112,인천,2019-04-16,32.4
112,인천,2019-04-17,55.9
112,인천,2019-04-18,88.5
112,인천,2019-04-19,66.1
112,인천,2019-04-20,78.3
112,인천,2019-04-21,92.6
112,인천,2019-04-22,70.6
112,인천,2019-04-23,67
112,인천,2019-04-24,82.1
112,인천,2019-04-25,87.5
112,인천,2019-04-26,84.1
112,인천,2019-04-27,59.5
112,인천,2019-04-28,61.6
112,인천,2019-04-29,54.4
112,인천,2019-04-30,61.5
112,인천,2019-05-01,65
112,인천,2019-05-02,39
112,인천,2019-05-03,53.9
112,인천,2019-05-04,61
112,인천,2019-05-05,55.4
112,인천,2019-05-06,32.5
112,인천,2019-05-07,57.5
112,인천,2019-05-08,67
112,인천,2019-05-09,65.1
112,인천,2019-05-10,64.9
112,인천,2019-05-11,62.4
112,인천,2019-05-12,46.9
112,인천,2019-05-13,52.4
112,인천,2019-05-14,61.1
112,인천,2019-05-15,68
112,인천,2019-05-16,63
112,인천,2019-05-17,58.5
112,인천,2019-05-18,60.9
112,인천,2019-05-19,96.9
112,인천,2019-05-20,68.5
112,인천,2019-05-21,69.4
112,인천,2019-05-22,64.1
112,인천,2019-05-23,62.9
112,인천,2019-05-24,59
112,인천,2019-05-25,62.4
112,인천,2019-05-26,48.6
112,인천,2019-05-27,86
112,인천,2019-05-28,60.9
112,인천,2019-05-29,63.4
112,인천,2019-05-30,59.8
112,인천,2019-05-31,64
112,인천,2019-06-01,73.5
112,인천,2019-06-02,57.8
112,인천,2019-06-03,60
112,인천,2019-06-04,67.3
112,인천,2019-06-05,85
112,인천,2019-06-06,92.5
112,인천,2019-06-07,80.1
112,인천,2019-06-08,66
112,인천,2019-06-09,78.1
112,인천,2019-06-10,70
112,인천,2019-06-11,58.6
112,인천,2019-06-12,72.9
112,인천,2019-06-13,67.3
112,인천,2019-06-14,70.9
112,인천,2019-06-15,66.3
112,인천,2019-06-16,65.4
112,인천,2019-06-17,75.6
112,인천,2019-06-18,79.9
112,인천,2019-06-19,85.5
112,인천,2019-06-20,84
112,인천,2019-06-21,84.8
112,인천,2019-06-22,55.6
112,인천,2019-06-23,45.3
112,인천,2019-06-24,67.8
112,인천,2019-06-25,67.3
112,인천,2019-06-26,66.9
112,인천,2019-06-27,82
112,인천,2019-06-28,84.4
112,인천,2019-06-29,84.9
112,인천,2019-06-30,90.6
112,인천,2019-07-01,81.6
112,인천,2019-07-02,83.6
112,인천,2019-07-03,87
112,인천,2019-07-04,82.3
112,인천,2019-07-05,62
112,인천,2019-07-06,48.8
112,인천,2019-07-07,46.4
112,인천,2019-07-08,49
112,인천,2019-07-09,51.3
112,인천,2019-07-10,67.5
112,인천,2019-07-11,84.4
112,인천,2019-07-12,83
112,인천,2019-07-13,87.1
112,인천,2019-07-14,80.9
112,인천,2019-07-15,85
112,인천,2019-07-16,85
112,인천,2019-07-17,76.4
112,인천,2019-07-18,70.8
112,인천,2019-07-19,66.4
112,인천,2019-07-20,73
112,인천,2019-07-21,94.8
112,인천,2019-07-22,92.5
112,인천,2019-07-23,86.3
112,인천,2019-07-24,95.5
112,인천,2019-07-25,97.4
112,인천,2019-07-26,98.4
112,인천,2019-07-27,85.6
112,인천,2019-07-28,96
112,인천,2019-07-29,84
112,인천,2019-07-30,87.6
112,인천,2019-07-31,97.1
112,인천,2019-08-01,93.5
112,인천,2019-08-02,82.4
112,인천,2019-08-03,75.5
112,인천,2019-08-04,74.8
112,인천,2019-08-05,73.8
112,인천,2019-08-06,59.4
112,인천,2019-08-07,75
112,인천,2019-08-08,79.4
112,인천,2019-08-09,72.6
112,인천,2019-08-10,63
112,인천,2019-08-11,57.6
112,인천,2019-08-12,95.3
112,인천,2019-08-13,81.8
112,인천,2019-08-14,75.9
112,인천,2019-08-15,80
112,인천,2019-08-16,82
112,인천,2019-08-17,74.6
112,인천,2019-08-18,71.6
112,인천,2019-08-19,70.9
112,인천,2019-08-20,62.8
112,인천,2019-08-21,71.4
112,인천,2019-08-22,74
112,인천,2019-08-23,62.8
112,인천,2019-08-24,68.5
112,인천,2019-08-25,71.9
112,인천,2019-08-26,75.8
112,인천,2019-08-27,76.6
112,인천,2019-08-28,75
112,인천,2019-08-29,79.8
112,인천,2019-08-30,67.5
112,인천,2019-08-31,69.4
112,인천,2019-09-01,73.5
112,인천,2019-09-02,65.8
112,인천,2019-09-03,73.3
112,인천,2019-09-04,91.4
112,인천,2019-09-05,94.4
112,인천,2019-09-06,88.8
112,인천,2019-09-07,80.3
112,인천,2019-09-08,85.8
112,인천,2019-09-09,76.1
112,인천,2019-09-10,95
112,인천,2019-09-11,74
112,인천,2019-09-12,77.5
112,인천,2019-09-13,69.9
112,인천,2019-09-14,86.1
112,인천,2019-09-15,80
112,인천,2019-09-16,60.3
112,인천,2019-09-17,49
112,인천,2019-09-18,49.8
112,인천,2019-09-19,48
112,인천,2019-09-20,55.5
112,인천,2019-09-21,61.6
112,인천,2019-09-22,61.1
112,인천,2019-09-23,53.6
112,인천,2019-09-24,65.5
112,인천,2019-09-25,74.1
112,인천,2019-09-26,61.1
112,인천,2019-09-27,61.3
112,인천,2019-09-28,69.1
112,인천,2019-09-29,75
112,인천,2019-09-30,83.4
112,인천,2019-10-01,77.3
112,인천,2019-10-02,85
112,인천,2019-10-03,72.3
112,인천,2019-10-04,77.9
112,인천,2019-10-05,76.6
112,인천,2019-10-06,60.5
112,인천,2019-10-07,91.9
112,인천,2019-10-08,56.6
112,인천,2019-10-09,45.9
112,인천,2019-10-10,60.8
112,인천,2019-10-11,63.9
112,인천,2019-10-12,52
112,인천,2019-10-13,58.3
112,인천,2019-10-14,57
112,인천,2019-10-15,58.4
112,인천,2019-10-16,67.1
112,인천,2019-10-17,58.8
112,인천,2019-10-18,57.9
112,인천,2019-10-19,69.6
112,인천,2019-10-20,75.8
112,인천,2019-10-21,69
112,인천,2019-10-22,64.4
112,인천,2019-10-23,59.5
112,인천,2019-10-24,54.5
112,인천,2019-10-25,65.6
112,인천,2019-10-26,63
112,인천,2019-10-27,59.1
112,인천,2019-10-28,68.3
112,인천,2019-10-29,53.1
112,인천,2019-10-30,61.4
112,인천,2019-10-31,78.3
112,인천,2019-11-01,52.4
112,인천,2019-11-02,64
112,인천,2019-11-03,59
112,인천,2019-11-04,64.4
112,인천,2019-11-05,70.9
112,인천,2019-11-06,57.6
112,인천,2019-11-07,46
112,인천,2019-11-08,34.4
112,인천,2019-11-09,53
112,인천,2019-11-10,66
112,인천,2019-11-11,72.3
112,인천,2019-11-12,62.1
112,인천,2019-11-13,70.4
112,인천,2019-11-14,39.5
112,인천,2019-11-15,85.6
112,인천,2019-11-16,79.8
112,인천,2019-11-17,84.8
112,인천,2019-11-18,66.3
112,인천,2019-11-19,56.8
112,인천,2019-11-20,38.4
112,인천,2019-11-21,37.3
112,인천,2019-11-22,38.1
112,인천,2019-11-23,61.9
112,인천,2019-11-24,75.9
112,인천,2019-11-25,62.1
112,인천,2019-11-26,68.8
112,인천,2019-11-27,51.5
112,인천,2019-11-28,54.9
112,인천,2019-11-29,42.5
112,인천,2019-11-30,54
112,인천,2019-12-01,77.5
112,인천,2019-12-02,50.4
112,인천,2019-12-03,70.3
112,인천,2019-12-04,50.3
112,인천,2019-12-05,41.9
112,인천,2019-12-06,43
112,인천,2019-12-07,67.9
112,인천,2019-12-08,65.9
112,인천,2019-12-09,66.1
112,인천,2019-12-10,88.9
112,인천,2019-12-11,65.8
112,인천,2019-12-12,49.5
112,인천,2019-12-13,55.6
112,인천,2019-12-14,60.1
112,인천,2019-12-15,62.5
112,인천,2019-12-16,62
112,인천,2019-12-17,82
112,인천,2019-12-18,63.5
112,인천,2019-12-19,54.8
112,인천,2019-12-20,51.4
112,인천,2019-12-21,68.9
112,인천,2019-12-22,71.3
112,인천,2019-12-23,82.3
112,인천,2019-12-24,66.5
112,인천,2019-12-25,64.8
112,인천,2019-12-26,69.1
112,인천,2019-12-27,51.6
112,인천,2019-12-28,49.4
112,인천,2019-12-29,56.8
112,인천,2019-12-30,72.9
112,인천,2019-12-31,49
112,인천,2020-01-01,66.6
