지점,지점명,일시,일강수량
112,인천,2018-01-08,.9
112,인천,2018-01-09,.3
112,인천,2018-01-10,.2
112,인천,2018-01-12,0
112,인천,2018-01-13,.7
112,인천,2018-01-15,.2
112,인천,2018-01-16,0
112,인천,2018-01-22,1.6
112,인천,2018-01-30,.6
112,인천,2018-01-31,0
112,인천,2018-02-03,.3
112,인천,2018-02-11,.3
112,인천,2018-02-12,.1
112,인천,2018-02-22,1.3
112,인천,2018-02-23,3.2
112,인천,2018-02-28,21.8
112,인천,2018-03-01,1.1
112,인천,2018-03-03,.1
112,인천,2018-03-04,13.7
112,인천,2018-03-05,4.7
112,인천,2018-03-07,2.1
112,인천,2018-03-08,5.6
112,인천,2018-03-15,46.6
112,인천,2018-03-18,1
112,인천,2018-03-19,1.5
112,인천,2018-03-21,2.2
112,인천,2018-04-01,0
112,인천,2018-04-03,.1
112,인천,2018-04-04,15.1
112,인천,2018-04-05,13.1
112,인천,2018-04-06,7.3
112,인천,2018-04-08,2.4
112,인천,2018-04-10,1.9
112,인천,2018-04-14,6
112,인천,2018-04-22,15.1
112,인천,2018-04-23,49.9
112,인천,2018-04-24,1.3
112,인천,2018-04-27,0
112,인천,2018-04-30,0
112,인천,2018-05-01,0
112,인천,2018-05-02,4
112,인천,2018-05-03,.2
112,인천,2018-05-05,0
112,인천,2018-05-06,20.7
112,인천,2018-05-11,0
112,인천,2018-05-12,24.6
112,인천,2018-05-13,.1
112,인천,2018-05-16,28
112,인천,2018-05-17,53.2
112,인천,2018-05-18,6.5
112,인천,2018-05-22,13.7
112,인천,2018-05-23,5.3
112,인천,2018-05-29,2.5
112,인천,2018-05-30,.1
112,인천,2018-06-09,16.7
112,인천,2018-06-10,3.2
112,인천,2018-06-11,5.2
112,인천,2018-06-12,1.2
112,인천,2018-06-14,23.1
112,인천,2018-06-15,1.3
112,인천,2018-06-26,90.3
112,인천,2018-06-27,.2
112,인천,2018-06-28,2.4
112,인천,2018-06-29,.4
112,인천,2018-07-01,61.8
112,인천,2018-07-02,50.3
112,인천,2018-07-03,0
112,인천,2018-07-05,0
112,인천,2018-07-09,22.9
112,인천,2018-07-10,8.8
112,인천,2018-07-11,5
112,인천,2018-07-12,0
112,인천,2018-07-14,0
112,인천,2018-07-15,0
112,인천,2018-07-28,0
112,인천,2018-08-06,0
112,인천,2018-08-13,1.1
112,인천,2018-08-15,2.9
112,인천,2018-08-20,0
112,인천,2018-08-21,27.2
112,인천,2018-08-22,0
112,인천,2018-08-23,3.5
112,인천,2018-08-24,3.8
112,인천,2018-08-26,0
112,인천,2018-08-27,9.9
112,인천,2018-08-28,127.3
112,인천,2018-08-29,35.2
112,인천,2018-08-30,4
112,인천,2018-08-31,0
112,인천,2018-09-03,19.7
112,인천,2018-09-06,.2
112,인천,2018-09-07,1.7
112,인천,2018-09-14,0
112,인천,2018-09-15,.2
112,인천,2018-09-16,1.5
112,인천,2018-09-17,0
112,인천,2018-09-19,.2
112,인천,2018-09-20,1.9
112,인천,2018-09-21,13.6
112,인천,2018-09-22,7.1
112,인천,2018-09-23,0
112,인천,2018-10-01,0
112,인천,2018-10-05,17.3
112,인천,2018-10-06,50.4
112,인천,2018-10-09,.3
112,인천,2018-10-10,18.8
112,인천,2018-10-18,.6
112,인천,2018-10-23,6.8
112,인천,2018-10-26,15.6
112,인천,2018-10-28,6.4
112,인천,2018-10-29,0
112,인천,2018-10-30,0
112,인천,2018-10-31,0
112,인천,2018-11-07,2.5
112,인천,2018-11-08,49.6
112,인천,2018-11-09,0
112,인천,2018-11-10,.5
112,인천,2018-11-11,0
112,인천,2018-11-20,1.3
112,인천,2018-11-21,3.1
112,인천,2018-11-24,9.6
112,인천,2018-11-29,0
112,인천,2018-12-03,6.6
112,인천,2018-12-04,5.8
112,인천,2018-12-06,0
112,인천,2018-12-13,3.6
112,인천,2018-12-16,.6
112,인천,2018-12-25,0
112,인천,2018-12-26,0
112,인천,2019-01-04,0
112,인천,2019-01-16,.6
112,인천,2019-01-17,.1
112,인천,2019-01-28,0
112,인천,2019-02-02,0
112,인천,2019-02-03,19.5
112,인천,2019-02-07,0
112,인천,2019-02-12,0
112,인천,2019-02-15,2.6
112,인천,2019-02-16,0
112,인천,2019-02-19,4.5
112,인천,2019-03-06,0
112,인천,2019-03-11,.1
112,인천,2019-03-15,1.5
112,인천,2019-03-20,16.4
112,인천,2019-03-21,4.7
112,인천,2019-03-23,2.6
112,인천,2019-03-29,0
112,인천,2019-03-30,3.1
112,인천,2019-04-06,0
112,인천,2019-04-09,14.9
112,인천,2019-04-10,3.8
112,인천,2019-04-14,2.4
112,인천,2019-04-18,0
112,인천,2019-04-20,1.1
112,인천,2019-04-21,.7
112,인천,2019-04-23,0
112,인천,2019-04-24,5.9
112,인천,2019-04-25,9.6
112,인천,2019-04-26,2.7
112,인천,2019-04-28,0
112,인천,2019-05-13,0
112,인천,2019-05-18,0
112,인천,2019-05-19,14.4
112,인천,2019-05-20,8.3
112,인천,2019-05-27,10.5
112,인천,2019-05-30,0
112,인천,2019-06-06,5.9
112,인천,2019-06-07,26.8
112,인천,2019-06-09,0
112,인천,2019-06-10,3.4
112,인천,2019-06-17,.2
112,인천,2019-06-18,4.5
112,인천,2019-06-19,.8
112,인천,2019-06-26,0
112,인천,2019-06-27,.9
112,인천,2019-06-28,3.8
112,인천,2019-06-29,3.2
112,인천,2019-06-30,.2
112,인천,2019-07-10,3.7
112,인천,2019-07-11,.1
112,인천,2019-07-13,11.1
112,인천,2019-07-15,0
112,인천,2019-07-16,37.5
112,인천,2019-07-18,0
112,인천,2019-07-20,3.8
112,인천,2019-07-21,6
112,인천,2019-07-23,0
112,인천,2019-07-24,1
112,인천,2019-07-25,9.1
112,인천,2019-07-26,61.1
112,인천,2019-07-27,4.8
112,인천,2019-07-28,30
112,인천,2019-07-29,.2
112,인천,2019-07-30,2.4
112,인천,2019-07-31,50
112,인천,2019-08-01,26
112,인천,2019-08-07,0
112,인천,2019-08-11,10
112,인천,2019-08-12,52.7
112,인천,2019-08-13,4.1
112,인천,2019-08-14,2.7
112,인천,2019-08-15,6.4
112,인천,2019-08-16,0
112,인천,2019-08-17,0
112,인천,2019-08-21,.6
112,인천,2019-08-27,2.6
112,인천,2019-08-29,38.6
112,인천,2019-08-30,0
112,인천,2019-08-31,0
112,인천,2019-09-03,3.2
112,인천,2019-09-04,58.2
112,인천,2019-09-05,40.3
112,인천,2019-09-06,6.9
112,인천,2019-09-07,1.4
112,인천,2019-09-09,0
112,인천,2019-09-10,88.8
112,인천,2019-09-11,4.2
112,인천,2019-09-12,25.2
112,인천,2019-09-13,0
112,인천,2019-09-14,.8
112,인천,2019-09-21,0
112,인천,2019-09-22,0
112,인천,2019-10-02,13.2
112,인천,2019-10-03,4.2
112,인천,2019-10-05,0
112,인천,2019-10-07,13.8
112,인천,2019-10-25,0
112,인천,2019-10-28,.6
112,인천,2019-10-29,.1
112,인천,2019-11-10,21.4
112,인천,2019-11-11,1.3
112,인천,2019-11-13,5.9
112,인천,2019-11-15,23.4
112,인천,2019-11-17,23.7
112,인천,2019-11-18,9.9
112,인천,2019-11-19,0
112,인천,2019-11-24,3.8
112,인천,2019-12-01,3.8
112,인천,2019-12-02,0
112,인천,2019-12-03,1.8
112,인천,2019-12-04,.3
112,인천,2019-12-07,.1
112,인천,2019-12-09,0
112,인천,2019-12-10,2.4
112,인천,2019-12-11,0
112,인천,2019-12-13,1.2
112,인천,2019-12-14,0
112,인천,2019-12-17,6.7
112,인천,2019-12-19,0
112,인천,2019-12-20,0
112,인천,2019-12-21,2.1
112,인천,2019-12-22,.6
112,인천,2019-12-23,4.8
112,인천,2019-12-26,.2
112,인천,2019-12-29,.9
112,인천,2019-12-30,.1
112,인천,2019-12-31,0
112,인천,2020-01-01,0
112,인천,2020-01-06,2.3
112,인천,2020-01-07,42.2
112,인천,2020-01-08,3.4
112,인천,2020-01-19,.1
112,인천,2020-01-27,.6
112,인천,2020-01-28,0
112,인천,2020-02-02,0
112,인천,2020-02-03,0
112,인천,2020-02-04,.9
112,인천,2020-02-07,0
112,인천,2020-02-08,0
112,인천,2020-02-10,0
112,인천,2020-02-12,5.9
112,인천,2020-02-15,3.8
112,인천,2020-02-16,10.2
112,인천,2020-02-17,.1
112,인천,2020-02-21,5.8
112,인천,2020-02-22,1.1
112,인천,2020-02-24,0
112,인천,2020-02-25,17.5
112,인천,2020-02-28,4.1
112,인천,2020-02-29,.3
112,인천,2020-03-01,0
112,인천,2020-03-04,0
112,인천,2020-03-09,0
112,인천,2020-03-10,6.1
112,인천,2020-03-13,0
112,인천,2020-03-26,3.5
112,인천,2020-03-27,1.1
112,인천,2020-04-17,2.6
112,인천,2020-04-19,11.2
112,인천,2020-04-20,0
112,인천,2020-04-22,0
112,인천,2020-05-02,0
112,인천,2020-05-03,.1
112,인천,2020-05-05,0
112,인천,2020-05-08,2.9
112,인천,2020-05-09,24.1
112,인천,2020-05-10,.8
112,인천,2020-05-11,2.6
112,인천,2020-05-12,.3
112,인천,2020-05-15,10.4
112,인천,2020-05-16,1.7
112,인천,2020-05-17,.1
112,인천,2020-05-18,35.7
112,인천,2020-05-19,4.7
112,인천,2020-05-21,0
112,인천,2020-05-22,0
112,인천,2020-05-23,.1
112,인천,2020-05-24,15.9
112,인천,2020-05-26,1.5
112,인천,2020-05-31,.3
112,인천,2020-06-01,.4
112,인천,2020-06-02,2.7
112,인천,2020-06-03,0
112,인천,2020-06-04,.9
112,인천,2020-06-05,0
112,인천,2020-06-08,0
112,인천,2020-06-10,9.4
112,인천,2020-06-14,.2
112,인천,2020-06-19,.1
112,인천,2020-06-23,0
112,인천,2020-06-24,23.5
112,인천,2020-06-25,6.9
112,인천,2020-06-26,1.6
112,인천,2020-06-27,0
112,인천,2020-06-29,22
112,인천,2020-06-30,32.5
112,인천,2020-07-01,.1
112,인천,2020-07-03,.8
112,인천,2020-07-04,.5
112,인천,2020-07-07,0
112,인천,2020-07-10,1.7
112,인천,2020-07-12,2.7
112,인천,2020-07-13,50.6
112,인천,2020-07-14,9.2
112,인천,2020-07-15,0
112,인천,2020-07-19,22
112,인천,2020-07-20,2.3
112,인천,2020-07-22,25
112,인천,2020-07-23,101.8
112,인천,2020-07-24,7.8
112,인천,2020-07-25,0
112,인천,2020-07-27,4.9
112,인천,2020-07-28,.1
112,인천,2020-07-29,13.8
112,인천,2020-07-30,.2
112,인천,2020-07-31,0
112,인천,2020-08-01,38.2
112,인천,2020-08-02,21.6
112,인천,2020-08-03,50.5
112,인천,2020-08-04,1.7
112,인천,2020-08-05,15.2
112,인천,2020-08-06,59.4
112,인천,2020-08-07,.1
112,인천,2020-08-08,18.2
112,인천,2020-08-09,103.8
112,인천,2020-08-10,20.1
112,인천,2020-08-11,106.6
112,인천,2020-08-12,.1
112,인천,2020-08-13,0
112,인천,2020-08-14,.1
112,인천,2020-08-15,27.3
112,인천,2020-08-21,.4
112,인천,2020-08-22,.4
112,인천,2020-08-26,.5
112,인천,2020-08-27,12.4
112,인천,2020-08-28,8.7
112,인천,2020-08-29,.3
112,인천,2020-08-30,.8
112,인천,2020-08-31,0
112,인천,2020-09-01,0
112,인천,2020-09-02,34.5
112,인천,2020-09-03,39
112,인천,2020-09-06,3.1
112,인천,2020-09-07,62.7
112,인천,2020-09-08,0
112,인천,2020-09-09,2.2
112,인천,2020-09-10,0
112,인천,2020-09-11,0
112,인천,2020-09-12,6.6
112,인천,2020-09-16,.5
112,인천,2020-09-19,19.1
112,인천,2020-09-25,0
112,인천,2020-10-02,1.2
112,인천,2020-10-03,.1
112,인천,2020-10-04,0
112,인천,2020-10-17,.2
112,인천,2020-10-22,.4
112,인천,2020-11-01,20.7
112,인천,2020-11-02,.6
112,인천,2020-11-03,.2
112,인천,2020-11-07,0
112,인천,2020-11-09,0
112,인천,2020-11-17,.8
112,인천,2020-11-18,8.5
112,인천,2020-11-19,47.7
112,인천,2020-11-20,0
112,인천,2020-11-21,.9
112,인천,2020-11-22,2.2
112,인천,2020-11-29,0
112,인천,2020-12-06,0
112,인천,2020-12-10,.2
112,인천,2020-12-13,3.7
112,인천,2020-12-17,.1
112,인천,2020-12-18,1.1
112,인천,2020-12-19,0
112,인천,2020-12-22,.1
112,인천,2020-12-23,0
112,인천,2020-12-26,0
112,인천,2020-12-27,0
112,인천,2020-12-28,1.4
112,인천,2020-12-29,0
112,인천,2020-12-31,0
112,인천,2021-01-01,0
112,인천,2021-01-04,0
112,인천,2021-01-05,0
112,인천,2021-01-06,2.1
112,인천,2021-01-10,0
112,인천,2021-01-11,0
112,인천,2021-01-12,1.1
112,인천,2021-01-17,.5
112,인천,2021-01-18,0
112,인천,2021-01-21,14.4
112,인천,2021-01-22,0
112,인천,2021-01-26,.2
112,인천,2021-01-28,2.5
112,인천,2021-01-30,0
112,인천,2021-02-01,0
112,인천,2021-02-02,0
112,인천,2021-02-03,3.3
112,인천,2021-02-04,.1
112,인천,2021-02-14,0
112,인천,2021-02-15,.8
112,인천,2021-02-16,2.4
112,인천,2021-03-01,58.7
112,인천,2021-03-02,0
112,인천,2021-03-12,0
112,인천,2021-03-15,.5
112,인천,2021-03-16,.3
112,인천,2021-03-20,3.4
112,인천,2021-03-21,0
112,인천,2021-03-27,22.3
112,인천,2021-03-28,8.2
112,인천,2021-04-02,0
112,인천,2021-04-03,54.7
112,인천,2021-04-04,.5
112,인천,2021-04-12,18.1
112,인천,2021-04-13,6
112,인천,2021-04-16,.4
112,인천,2021-04-17,0
112,인천,2021-04-23,0
112,인천,2021-04-24,0
112,인천,2021-04-27,5.1
112,인천,2021-04-28,.1
112,인천,2021-04-29,7.7
112,인천,2021-04-30,24.3
112,인천,2021-05-01,.7
112,인천,2021-05-02,1.1
112,인천,2021-05-04,32.3
112,인천,2021-05-05,0
112,인천,2021-05-07,1.9
112,인천,2021-05-10,5.2
112,인천,2021-05-15,25.1
112,인천,2021-05-16,61.4
112,인천,2021-05-17,2.4
112,인천,2021-05-20,7.9
112,인천,2021-05-21,4.6
112,인천,2021-05-24,0
112,인천,2021-05-25,5.3
112,인천,2021-05-27,8.8
112,인천,2021-05-28,11.1
112,인천,2021-05-29,0
112,인천,2021-05-30,23.1
112,인천,2021-05-31,.6
112,인천,2021-06-01,.9
112,인천,2021-06-03,16.1
112,인천,2021-06-04,0
112,인천,2021-06-07,0
112,인천,2021-06-08,.1
112,인천,2021-06-10,7.2
112,인천,2021-06-11,2.1
112,인천,2021-06-15,1.6
112,인천,2021-06-17,.1
112,인천,2021-06-18,12.1
112,인천,2021-06-22,0
112,인천,2021-06-26,1.6
112,인천,2021-06-28,3.6
112,인천,2021-07-03,52.7
112,인천,2021-07-04,12.6
112,인천,2021-07-05,0
112,인천,2021-07-07,.2
112,인천,2021-07-08,.5
112,인천,2021-07-10,10.7
112,인천,2021-07-11,0
112,인천,2021-07-16,5
112,인천,2021-07-17,2.4
112,인천,2021-07-18,.1
112,인천,2021-07-30,0
112,인천,2021-07-31,0
112,인천,2021-08-01,12.6
112,인천,2021-08-02,.1
112,인천,2021-08-06,0
112,인천,2021-08-08,21.5
112,인천,2021-08-11,1.4
112,인천,2021-08-16,29.5
112,인천,2021-08-17,27.6
112,인천,2021-08-18,7.4
112,인천,2021-08-20,4.5
112,인천,2021-08-21,59.6
112,인천,2021-08-22,0
112,인천,2021-08-23,12.2
112,인천,2021-08-24,8.2
112,인천,2021-08-25,.1
112,인천,2021-08-26,0
112,인천,2021-08-27,.6
112,인천,2021-08-29,1
112,인천,2021-08-30,0
112,인천,2021-08-31,82.7
112,인천,2021-09-01,0
112,인천,2021-09-02,1
112,인천,2021-09-06,15.6
112,인천,2021-09-07,14.1
112,인천,2021-09-08,0
112,인천,2021-09-19,0
112,인천,2021-09-20,.3
112,인천,2021-09-21,74.6
112,인천,2021-09-22,7
112,인천,2021-09-27,0
112,인천,2021-09-28,3.5
112,인천,2021-09-29,9.7
112,인천,2021-10-01,7.8
112,인천,2021-10-04,1.8
112,인천,2021-10-05,0
112,인천,2021-10-06,1.1
112,인천,2021-10-07,4.6
112,인천,2021-10-08,1.8
112,인천,2021-10-09,0
112,인천,2021-10-10,7
112,인천,2021-10-11,.4
112,인천,2021-10-15,.1
112,인천,2021-10-16,0
112,인천,2021-10-18,5.4
112,인천,2021-10-19,1.6
112,인천,2021-10-27,0
112,인천,2021-10-31,0
112,인천,2021-11-04,2.4
112,인천,2021-11-08,31.4
112,인천,2021-11-09,13.3
112,인천,2021-11-10,0
112,인천,2021-11-11,.3
112,인천,2021-11-14,0
112,인천,2021-11-18,.8
112,인천,2021-11-21,3.1
112,인천,2021-11-22,0
112,인천,2021-11-23,0
112,인천,2021-11-24,0
112,인천,2021-11-25,0
112,인천,2021-11-30,27.7
112,인천,2021-12-02,0
112,인천,2021-12-03,.4
112,인천,2021-12-10,.3
112,인천,2021-12-14,.4
112,인천,2021-12-15,1.8
112,인천,2021-12-18,4.6
112,인천,2021-12-19,0
112,인천,2021-12-20,0
